pair_index,image1,image2,t_gt_sq_magnitude,r_gt_magnitude,skipping_frame,inliers,match_coverage,method,rotation_error,translation_error
0,rgb/1305031922.833262.png,rgb/1305031922.901109.png,3.173e-05,2.43599,2,240,0.6875,FNS,0.114293,42.9945
1,rgb/1305031923.001054.png,rgb/1305031923.065085.png,7.361e-05,1.49399,2,404,0.71875,FNS,0.396146,97.9292
2,rgb/1305031923.165168.png,rgb/1305031923.233162.png,6.473e-05,2.06014,2,164,0.71875,FNS,0.592523,75.161
3,rgb/1305031923.333169.png,rgb/1305031923.401139.png,0.0002305,2.73248,2,167,0.65625,FNS,0.551239,112.44
4,rgb/1305031923.501145.png,rgb/1305031923.565198.png,0.00051638,1.97759,2,154,0.640625,FNS,1.16652,75.1275
5,rgb/1305031923.665141.png,rgb/1305031923.733145.png,0.00068177,0.850257,2,257,0.734375,FNS,0.237917,3.45799
6,rgb/1305031923.833045.png,rgb/1305031923.901121.png,0.00105726,1.78801,2,293,0.671875,FNS,1.80021,60.7774
7,rgb/1305031924.001096.png,rgb/1305031924.065224.png,0.00112262,1.0623,2,99,0.484375,FNS,0.553741,8.48959
8,rgb/1305031924.165591.png,rgb/1305031924.233238.png,0.00070541,1.14548,2,205,0.625,FNS,0.5719,1.3425
9,rgb/1305031924.333113.png,rgb/1305031924.401095.png,0.00100484,1.63181,2,239,0.703125,FNS,0.470811,3.66782
10,rgb/1305031924.501116.png,rgb/1305031924.565264.png,0.00070819,2.63561,2,191,0.65625,FNS,1.15512,54.2982
11,rgb/1305031924.665187.png,rgb/1305031924.733166.png,0.00038337,1.63994,2,427,0.78125,FNS,1.20189,48.8549
12,rgb/1305031924.833187.png,rgb/1305031924.901110.png,0.00052769,0.956069,2,286,0.65625,FNS,0.719905,53.22
13,rgb/1305031925.001103.png,rgb/1305031925.069090.png,0.00054417,1.26321,2,435,0.75,FNS,0.791204,68.3355
14,rgb/1305031925.169080.png,rgb/1305031925.233193.png,0.00038089,0.887252,2,299,0.71875,FNS,0.274434,3.84321
15,rgb/1305031925.333142.png,rgb/1305031925.401456.png,0.00073051,1.40382,2,246,0.703125,FNS,0.146346,5.57368
16,rgb/1305031925.501267.png,rgb/1305031925.569132.png,0.0008511,2.18373,2,295,0.703125,FNS,0.304418,7.96441
17,rgb/1305031925.669137.png,rgb/1305031925.733167.png,0.00056006,0.523016,2,376,0.703125,FNS,0.194144,5.25569
18,rgb/1305031925.833148.png,rgb/1305031925.901176.png,0.00075942,2.40111,2,217,0.640625,FNS,0.293066,6.1024
19,rgb/1305031926.001186.png,rgb/1305031926.069077.png,0.00084558,1.64644,2,370,0.75,FNS,0.344709,3.70298
20,rgb/1305031926.169101.png,rgb/1305031926.233134.png,0.00076229,1.43709,2,315,0.6875,FNS,0.371098,5.76886
21,rgb/1305031926.333164.png,rgb/1305031926.401166.png,0.00104622,2.40178,2,289,0.734375,FNS,0.171206,3.75203
22,rgb/1305031926.501075.png,rgb/1305031926.569122.png,0.00072588,2.8555,2,259,0.609375,FNS,0.232369,2.72433
23,rgb/1305031926.669140.png,rgb/1305031926.733207.png,0.00021945,2.98666,2,139,0.5,FNS,0.435051,22.8798
