pair_index,image1,image2,t_gt_sq_magnitude,r_gt_magnitude,skipping_frame,inliers,match_coverage,method,rotation_error,translation_error
0,rgb/1305031922.833262.png,rgb/1305031923.001054.png,0.0002663,4.43518,5,135,0.609375,FNS,0.306194,56.1612
1,rgb/1305031923.001054.png,rgb/1305031923.165168.png,0.00046586,3.62481,5,149,0.59375,FNS,0.930061,6.52915
2,rgb/1305031923.165168.png,rgb/1305031923.333169.png,0.00059941,4.98186,5,132,0.640625,FNS,0.783682,52.5701
3,rgb/1305031923.333169.png,rgb/1305031923.501145.png,0.00173048,5.9096,5,74,0.453125,FNS,1.83529,88.5765
4,rgb/1305031923.501145.png,rgb/1305031923.665141.png,0.00384227,4.24462,5,82,0.453125,FNS,178.718,60.994
5,rgb/1305031923.665141.png,rgb/1305031923.833045.png,0.00493401,1.65978,5,199,0.609375,FNS,0.355469,0.430793
6,rgb/1305031923.833045.png,rgb/1305031924.001096.png,0.00642246,2.76224,5,171,0.515625,FNS,3.53496,68.7936
7,rgb/1305031924.001096.png,rgb/1305031924.165591.png,0.00624477,0.96145,5,88,0.390625,FNS,0.630357,9.10356
8,rgb/1305031924.165591.png,rgb/1305031924.333113.png,0.00520082,2.20894,5,126,0.484375,FNS,3.53809,54.0868
9,rgb/1305031924.333113.png,rgb/1305031924.501116.png,0.00536203,3.99262,5,146,0.546875,FNS,0.606031,1.37626
10,rgb/1305031924.501116.png,rgb/1305031924.665187.png,0.00368585,5.58077,5,199,0.546875,FNS,1.97298,37.1964
11,rgb/1305031924.665187.png,rgb/1305031924.833187.png,0.00273466,2.36766,5,263,0.6875,FNS,2.54339,55.9084
12,rgb/1305031924.833187.png,rgb/1305031925.001103.png,0.00325256,1.7484,5,315,0.671875,FNS,0.358919,0.212496
13,rgb/1305031925.001103.png,rgb/1305031925.169080.png,0.0030156,1.1556,5,386,0.703125,FNS,1.48405,45.2917
14,rgb/1305031925.169080.png,rgb/1305031925.333142.png,0.00293997,2.44753,5,158,0.546875,FNS,0.717397,17.2436
15,rgb/1305031925.333142.png,rgb/1305031925.501267.png,0.00447133,1.33027,5,167,0.5625,FNS,0.925027,1.50689
16,rgb/1305031925.501267.png,rgb/1305031925.669137.png,0.00491139,4.04506,5,159,0.53125,FNS,2.16241,46.863
17,rgb/1305031925.669137.png,rgb/1305031925.833148.png,0.00392854,3.15656,5,98,0.5,FNS,2.35828,56.3408
18,rgb/1305031925.833148.png,rgb/1305031926.001186.png,0.00462219,5.57413,5,107,0.46875,FNS,0.303348,4.16613
19,rgb/1305031926.001186.png,rgb/1305031926.169101.png,0.00530206,3.56906,5,160,0.59375,FNS,0.53822,19.08
20,rgb/1305031926.169101.png,rgb/1305031926.333164.png,0.00555221,4.28872,5,159,0.546875,FNS,0.330971,1.99365
21,rgb/1305031926.333164.png,rgb/1305031926.501075.png,0.00554102,6.06725,5,149,0.59375,FNS,0.2087,1.1293
22,rgb/1305031926.501075.png,rgb/1305031926.669140.png,0.00334461,7.28791,5,191,0.515625,FNS,0.317042,11.1232
23,rgb/1305031926.669140.png,rgb/1305031926.833209.png,0.00134051,9.45348,5,78,0.375,FNS,0.4829,11.679
24,rgb/1305031926.833209.png,rgb/1305031927.001575.png,0.00161172,14.2586,5,74,0.359375,FNS,0.370053,42.2555
25,rgb/1305031927.001575.png,rgb/1305031927.169161.png,0.0022413,12.1197,5,37,0.28125,FNS,0.752848,28.0714
26,rgb/1305031927.169161.png,rgb/1305031927.333139.png,0.00273646,8.30645,5,87,0.4375,FNS,1.31302,37.0202
27,rgb/1305031927.333139.png,rgb/1305031927.501136.png,0.00352973,6.73247,5,103,0.375,FNS,1.47066,61.2162
28,rgb/1305031927.501136.png,rgb/1305031927.669158.png,0.00262358,4.03212,5,132,0.515625,FNS,1.04904,54.8774
29,rgb/1305031927.669158.png,rgb/1305031927.833282.png,0.00293572,4.65743,5,222,0.59375,FNS,1.96407,57.5789
30,rgb/1305031927.833282.png,rgb/1305031928.001134.png,0.00559325,0.999742,5,199,0.625,FNS,0.460081,10.7241
