pair_index,image1,image2,t_gt_sq_magnitude,r_gt_magnitude,skipping_frame,inliers,match_coverage,method,rotation_error,translation_error
0,rgb/1305031922.833262.png,rgb/1305031922.901109.png,3.173e-05,2.43599,2,255,0.71875,FNS,0.142615,102.138
1,rgb/1305031923.001054.png,rgb/1305031923.065085.png,7.361e-05,1.49399,2,407,0.703125,FNS,0.386883,144.52
2,rgb/1305031923.165168.png,rgb/1305031923.233162.png,6.473e-05,2.06014,2,155,0.640625,FNS,0.504983,109.832
3,rgb/1305031923.333169.png,rgb/1305031923.401139.png,0.0002305,2.73248,2,157,0.609375,FNS,0.44288,168.832
4,rgb/1305031923.501145.png,rgb/1305031923.565198.png,0.00051638,1.97759,2,140,0.59375,FNS,0.948641,75.0232
5,rgb/1305031923.665141.png,rgb/1305031923.733145.png,0.00068177,0.850257,2,246,0.65625,FNS,0.458744,5.41847
6,rgb/1305031923.833045.png,rgb/1305031923.901121.png,0.00105726,1.78801,2,294,0.65625,FNS,0.430431,13.0336
7,rgb/1305031924.001096.png,rgb/1305031924.065224.png,0.00112262,1.0623,2,91,0.46875,FNS,0.527542,15.9098
8,rgb/1305031924.165591.png,rgb/1305031924.233238.png,0.00070541,1.14548,2,191,0.40625,FNS,0.694446,18.8708
9,rgb/1305031924.333113.png,rgb/1305031924.401095.png,0.00100484,1.63181,2,238,0.703125,FNS,0.396781,3.67485
10,rgb/1305031924.501116.png,rgb/1305031924.565264.png,0.00070819,2.63561,2,186,0.625,FNS,0.424816,25.1356
11,rgb/1305031924.665187.png,rgb/1305031924.733166.png,0.00038337,1.63994,2,445,0.75,FNS,1.24216,48.6804
12,rgb/1305031924.833187.png,rgb/1305031924.901110.png,0.00052769,0.956069,2,281,0.640625,FNS,0.493324,52.6552
13,rgb/1305031925.001103.png,rgb/1305031925.069090.png,0.00054417,1.26321,2,431,0.671875,FNS,0.302268,14.8942
14,rgb/1305031925.169080.png,rgb/1305031925.233193.png,0.00038089,0.887252,2,298,0.671875,FNS,0.312797,8.55226
15,rgb/1305031925.333142.png,rgb/1305031925.401456.png,0.00073051,1.40382,2,254,0.65625,FNS,0.0590738,4.25313
16,rgb/1305031925.501267.png,rgb/1305031925.569132.png,0.0008511,2.18373,2,300,0.6875,FNS,0.958298,48.7991
17,rgb/1305031925.669137.png,rgb/1305031925.733167.png,0.00056006,0.523016,2,393,0.75,FNS,0.185186,7.10287
18,rgb/1305031925.833148.png,rgb/1305031925.901176.png,0.00075942,2.40111,2,210,0.609375,FNS,0.845913,57.3423
19,rgb/1305031926.001186.png,rgb/1305031926.069077.png,0.00084558,1.64644,2,352,0.6875,FNS,2.19358,80.3186
20,rgb/1305031926.169101.png,rgb/1305031926.233134.png,0.00076229,1.43709,2,331,0.734375,FNS,0.444838,8.78772
21,rgb/1305031926.333164.png,rgb/1305031926.401166.png,0.00104622,2.40178,2,278,0.71875,FNS,0.705352,44.5758
22,rgb/1305031926.501075.png,rgb/1305031926.569122.png,0.00072588,2.8555,2,260,0.609375,FNS,0.979263,58.692
23,rgb/1305031926.669140.png,rgb/1305031926.733207.png,0.00021945,2.98666,2,133,0.46875,FNS,0.828373,61.7814
24,rgb/1305031926.833209.png,rgb/1305031926.901097.png,0.00026714,5.92194,2,99,0.4375,FNS,0.146575,30.4967
25,rgb/1305031927.001575.png,rgb/1305031927.070528.png,0.00036539,5.44825,2,79,0.359375,FNS,0.611094,92.1275
26,rgb/1305031927.169161.png,rgb/1305031927.233491.png,0.00035282,3.62591,2,67,0.484375,FNS,1.17086,99.2098
27,rgb/1305031927.333139.png,rgb/1305031927.401161.png,0.00062294,3.47699,2,153,0.4375,FNS,0.0887397,80.1659
28,rgb/1305031927.501136.png,rgb/1305031927.569225.png,0.00046254,1.2004,2,196,0.59375,FNS,0.420822,11.0441
29,rgb/1305031927.669158.png,rgb/1305031927.733219.png,0.00034857,2.29924,2,340,0.6875,FNS,0.66683,21.6681
30,rgb/1305031927.833282.png,rgb/1305031927.901130.png,0.00083906,0.63815,2,218,0.546875,FNS,0.724018,26.6696
31,rgb/1305031928.001134.png,rgb/1305031928.069125.png,0.00110317,0.54838,2,220,0.5625,FNS,0.93159,60.0222
32,rgb/1305031928.169018.png,rgb/1305031928.233133.png,0.00067077,1.46362,2,169,0.625,FNS,0.829168,52.0465
33,rgb/1305031928.333609.png,rgb/1305031928.401116.png,0.00062774,2.99269,2,150,0.625,FNS,0.355368,2.89086
34,rgb/1305031928.501428.png,rgb/1305031928.569299.png,0.00044905,4.37717,2,134,0.5,FNS,0.451286,15.8428
35,rgb/1305031928.669146.png,rgb/1305031928.733185.png,0.00023406,3.33596,2,119,0.453125,FNS,1.09907,67.305
36,rgb/1305031928.833193.png,rgb/1305031928.901197.png,0.00036397,3.86408,2,129,0.4375,FNS,1.39042,80.1867
37,rgb/1305031929.001155.png,rgb/1305031929.069089.png,0.0004844,4.85102,2,94,0.46875,FNS,0.866309,67.2702
38,rgb/1305031929.169204.png,rgb/1305031929.233293.png,0.0004779,3.95126,2,74,0.328125,FNS,0.579921,36.3816
39,rgb/1305031929.333529.png,rgb/1305031929.401369.png,0.00063878,3.44766,2,71,0.46875,FNS,0.48614,26.7443
40,rgb/1305031929.501198.png,rgb/1305031929.569172.png,0.00061586,2.71116,2,190,0.75,FNS,0.720914,47.6068
41,rgb/1305031929.669287.png,rgb/1305031929.733617.png,0.00041606,2.12675,2,96,0.515625,FNS,0.7105,35.037
42,rgb/1305031929.833358.png,rgb/1305031929.901292.png,0.00029081,1.95266,2,273,0.703125,FNS,0.127227,28.4446
43,rgb/1305031930.001350.png,rgb/1305031930.069293.png,0.00014411,1.01883,2,407,0.734375,FNS,0.180435,56.2011
44,rgb/1305031930.169117.png,rgb/1305031930.233355.png,0.00025446,2.32628,2,152,0.578125,FNS,0.577002,89.1343
45,rgb/1305031930.333138.png,rgb/1305031930.401077.png,0.00050382,3.31018,2,127,0.578125,FNS,0.34046,68.6499
46,rgb/1305031930.501044.png,rgb/1305031930.569007.png,0.00037465,3.30583,2,117,0.578125,FNS,0.362884,74.1922
47,rgb/1305031930.668925.png,rgb/1305031930.733195.png,0.00031169,2.89416,2,213,0.671875,FNS,0.69691,79.5149
48,rgb/1305031930.833091.png,rgb/1305031930.900829.png,0.00038141,2.69552,2,347,0.734375,FNS,0.167693,76.5077
49,rgb/1305031931.000795.png,rgb/1305031931.068905.png,0.00033851,3.35873,2,275,0.6875,FNS,0.234846,95.9668
50,rgb/1305031931.168900.png,rgb/1305031931.233053.png,0.00019178,3.83045,2,196,0.5625,FNS,0.838167,64.4735
