pair_index,image1,image2,t_gt_sq_magnitude,r_gt_magnitude,skipping_frame,inliers,match_coverage,method,rotation_error,translation_error
0,rgb/1305031922.833262.png,rgb/1305031922.901109.png,3.173e-05,2.43599,2,249,0.71875,FNS,0.14611,65.7266
1,rgb/1305031923.001054.png,rgb/1305031923.065085.png,7.361e-05,1.49399,2,408,0.671875,FNS,0.232342,95.7222
2,rgb/1305031923.165168.png,rgb/1305031923.233162.png,6.473e-05,2.06014,2,166,0.6875,FNS,0.472409,111.089
3,rgb/1305031923.333169.png,rgb/1305031923.401139.png,0.0002305,2.73248,2,162,0.625,FNS,0.45491,28.2529
4,rgb/1305031923.501145.png,rgb/1305031923.565198.png,0.00051638,1.97759,2,157,0.625,FNS,0.819853,64.4527
5,rgb/1305031923.665141.png,rgb/1305031923.733145.png,0.00068177,0.850257,2,257,0.703125,FNS,0.230792,2.77739
6,rgb/1305031923.833045.png,rgb/1305031923.901121.png,0.00105726,1.78801,2,289,0.65625,FNS,1.82544,62.6944
7,rgb/1305031924.001096.png,rgb/1305031924.065224.png,0.00112262,1.0623,2,100,0.484375,FNS,0.604435,8.71501
8,rgb/1305031924.165591.png,rgb/1305031924.233238.png,0.00070541,1.14548,2,210,0.625,FNS,0.540128,0.714005
9,rgb/1305031924.333113.png,rgb/1305031924.401095.png,0.00100484,1.63181,2,241,0.71875,FNS,0.440774,5.35263
10,rgb/1305031924.501116.png,rgb/1305031924.565264.png,0.00070819,2.63561,2,184,0.640625,FNS,0.618274,33.9736
11,rgb/1305031924.665187.png,rgb/1305031924.733166.png,0.00038337,1.63994,2,433,0.75,FNS,0.63036,48.9252
12,rgb/1305031924.833187.png,rgb/1305031924.901110.png,0.00052769,0.956069,2,294,0.65625,FNS,0.667452,53.682
13,rgb/1305031925.001103.png,rgb/1305031925.069090.png,0.00054417,1.26321,2,432,0.71875,FNS,0.382304,19.7672
14,rgb/1305031925.169080.png,rgb/1305031925.233193.png,0.00038089,0.887252,2,303,0.6875,FNS,0.265927,4.2786
15,rgb/1305031925.333142.png,rgb/1305031925.401456.png,0.00073051,1.40382,2,250,0.65625,FNS,0.0960573,0.918805
16,rgb/1305031925.501267.png,rgb/1305031925.569132.png,0.0008511,2.18373,2,288,0.6875,FNS,0.704259,60.5408
17,rgb/1305031925.669137.png,rgb/1305031925.733167.png,0.00056006,0.523016,2,376,0.71875,FNS,1.00077,66.9424
18,rgb/1305031925.833148.png,rgb/1305031925.901176.png,0.00075942,2.40111,2,216,0.625,FNS,0.15926,1.71169
19,rgb/1305031926.001186.png,rgb/1305031926.069077.png,0.00084558,1.64644,2,368,0.765625,FNS,0.424473,3.57438
20,rgb/1305031926.169101.png,rgb/1305031926.233134.png,0.00076229,1.43709,2,316,0.703125,FNS,0.37917,7.59209
21,rgb/1305031926.333164.png,rgb/1305031926.401166.png,0.00104622,2.40178,2,293,0.703125,FNS,0.278119,6.9652
22,rgb/1305031926.501075.png,rgb/1305031926.569122.png,0.00072588,2.8555,2,260,0.609375,FNS,0.289689,4.8259
23,rgb/1305031926.669140.png,rgb/1305031926.733207.png,0.00021945,2.98666,2,136,0.484375,FNS,0.563682,76.5996
24,rgb/1305031926.833209.png,rgb/1305031926.901097.png,0.00026714,5.92194,2,108,0.46875,FNS,0.613041,63.8591
25,rgb/1305031927.001575.png,rgb/1305031927.070528.png,0.00036539,5.44825,2,82,0.34375,FNS,0.619705,43.3684
26,rgb/1305031927.169161.png,rgb/1305031927.233491.png,0.00035282,3.62591,2,72,0.5,FNS,1.73035,122.758
27,rgb/1305031927.333139.png,rgb/1305031927.401161.png,0.00062294,3.47699,2,155,0.5,FNS,0.329179,28.2841
