pair_index,image1,image2,t_gt_sq_magnitude,r_gt_magnitude,skipping_frame,inliers,match_coverage,method,rotation_error,translation_error
0,rgb/1305031922.833262.png,rgb/1305031923.501145.png,0.0101687,18.769,20,39,0.34375,FNS,2.8825,57.3273
1,rgb/1305031923.001054.png,rgb/1305031923.665141.png,0.0201867,17.8086,20,76,0.359375,FNS,1.582,16.4019
2,rgb/1305031923.165168.png,rgb/1305031923.833045.png,0.0364982,15.8952,20,41,0.265625,FNS,15.4277,69.8611
3,rgb/1305031923.333169.png,rgb/1305031924.001096.png,0.0614527,10.6344,20,34,0.15625,FNS,2.0734,4.7433
4,rgb/1305031923.501145.png,rgb/1305031924.165591.png,0.0828899,6.32825,20,13,0.140625,FNS,5.51829,31.824
5,rgb/1305031923.665141.png,rgb/1305031924.333113.png,0.0901585,3.29599,20,40,0.28125,FNS,37.6929,93.8846
6,rgb/1305031923.833045.png,rgb/1305031924.501116.png,0.0921615,6.421,20,32,0.28125,FNS,3.07766,14.3461
7,rgb/1305031924.001096.png,rgb/1305031924.665187.png,0.0805741,10.4606,20,24,0.203125,FNS,0.592596,1.71245
8,rgb/1305031924.165591.png,rgb/1305031924.833187.png,0.0661491,12.7531,20,48,0.34375,FNS,172.831,30.4905
9,rgb/1305031924.333113.png,rgb/1305031925.001103.png,0.0577568,12.3066,20,65,0.5,FNS,0.448984,0.979209
10,rgb/1305031924.501116.png,rgb/1305031925.169080.png,0.0492624,9.8172,20,67,0.4375,FNS,1.10847,1.50409
11,rgb/1305031924.665187.png,rgb/1305031925.333142.png,0.0469207,5.95917,20,67,0.375,FNS,2.43083,10.9884
12,rgb/1305031924.833187.png,rgb/1305031925.501267.png,0.0538293,5.53729,20,67,0.375,FNS,0.66165,6.33421
13,rgb/1305031925.001103.png,rgb/1305031925.669137.png,0.058085,1.23707,20,90,0.4375,FNS,0.406655,3.75534
14,rgb/1305031925.169080.png,rgb/1305031925.833148.png,0.0605032,3.21551,20,24,0.21875,FNS,2.31029,23.3203
15,rgb/1305031925.333142.png,rgb/1305031926.001186.png,0.0692958,9.83693,20,24,0.25,FNS,0.153259,3.1812
16,rgb/1305031925.501267.png,rgb/1305031926.169101.png,0.0736798,14.3207,20,12,0.15625,FNS,11.0627,34.7119
17,rgb/1305031925.669137.png,rgb/1305031926.333164.png,0.074649,15.087,20,0,0,FNS,81.1124,123.636
18,rgb/1305031925.833148.png,rgb/1305031926.501075.png,0.0801829,17.595,20,0,0,FNS,76.2892,117.177
19,rgb/1305031926.001186.png,rgb/1305031926.669140.png,0.0753457,20.1851,20,29,0.203125,FNS,9.74425,69.4163
