pair_index,image1,image2,t_gt_sq_magnitude,r_gt_magnitude,skipping_frame,inliers,match_coverage,method,rotation_error,translation_error
0,rgb/1305031922.833262.png,rgb/1305031923.001054.png,0.0002663,4.43518,5,134,0.578125,FNS,0.512619,70.6946
1,rgb/1305031923.001054.png,rgb/1305031923.165168.png,0.00046586,3.62481,5,152,0.578125,FNS,0.425094,38.3336
2,rgb/1305031923.165168.png,rgb/1305031923.333169.png,0.00059941,4.98186,5,127,0.625,FNS,0.800508,47.6703
3,rgb/1305031923.333169.png,rgb/1305031923.501145.png,0.00173048,5.9096,5,75,0.4375,FNS,1.83222,84.0317
4,rgb/1305031923.501145.png,rgb/1305031923.665141.png,0.00384227,4.24462,5,84,0.484375,FNS,0.18274,1.6121
5,rgb/1305031923.665141.png,rgb/1305031923.833045.png,0.00493401,1.65978,5,195,0.578125,FNS,0.315872,0.9437
6,rgb/1305031923.833045.png,rgb/1305031924.001096.png,0.00642246,2.76224,5,171,0.53125,FNS,2.71105,44.7576
7,rgb/1305031924.001096.png,rgb/1305031924.165591.png,0.00624477,0.96145,5,95,0.40625,FNS,0.785476,16.1066
8,rgb/1305031924.165591.png,rgb/1305031924.333113.png,0.00520082,2.20894,5,133,0.5,FNS,3.44725,52.6822
9,rgb/1305031924.333113.png,rgb/1305031924.501116.png,0.00536203,3.99262,5,144,0.5625,FNS,0.401575,4.13966
10,rgb/1305031924.501116.png,rgb/1305031924.665187.png,0.00368585,5.58077,5,197,0.53125,FNS,1.71017,32.0245
11,rgb/1305031924.665187.png,rgb/1305031924.833187.png,0.00273466,2.36766,5,252,0.65625,FNS,2.63541,47.3004
12,rgb/1305031924.833187.png,rgb/1305031925.001103.png,0.00325256,1.7484,5,287,0.625,FNS,2.57405,53.8307
13,rgb/1305031925.001103.png,rgb/1305031925.169080.png,0.0030156,1.1556,5,371,0.71875,FNS,1.64256,49.4013
14,rgb/1305031925.169080.png,rgb/1305031925.333142.png,0.00293997,2.44753,5,156,0.53125,FNS,0.638183,4.19113
