pair_index,image1,image2,t_gt_sq_magnitude,skipping_frame,method,rotation_error,translation_error
60,rgb/1305031932.832891.png,rgb/1305031933.001958.png,0.00237045,5,FNS,1.58055,53.2359
61,rgb/1305031933.001958.png,rgb/1305031933.169450.png,0.00161773,5,FNS,2.00386,34.4798
62,rgb/1305031933.169450.png,rgb/1305031933.332881.png,0.00032301,5,FNS,0.791903,16.0986
63,rgb/1305031933.332881.png,rgb/1305031933.500809.png,0.00021233,5,FNS,0.623046,26.1889
64,rgb/1305031933.500809.png,rgb/1305031933.669114.png,0.00048012,5,FNS,0.803458,88.1633
65,rgb/1305031933.669114.png,rgb/1305031933.833132.png,0.00110171,5,FNS,1.29181,56.9028
66,rgb/1305031933.833132.png,rgb/1305031934.000841.png,0.00205189,5,FNS,2.13649,82.5543
67,rgb/1305031934.000841.png,rgb/1305031934.169177.png,0.00339014,5,FNS,3.71676,112.576
68,rgb/1305031934.169177.png,rgb/1305031934.336871.png,0.00440406,5,FNS,0.370432,1.50317
69,rgb/1305031934.336871.png,rgb/1305031934.501241.png,0.00456171,5,FNS,4.59743,65.1028
70,rgb/1305031934.501241.png,rgb/1305031934.668984.png,0.00638998,5,FNS,3.81669,143.602
71,rgb/1305031934.668984.png,rgb/1305031934.836769.png,0.00705102,5,FNS,0.143769,4.21974
72,rgb/1305031934.836769.png,rgb/1305031935.001270.png,0.00736245,5,FNS,4.718,61.1773
73,rgb/1305031935.001270.png,rgb/1305031935.169281.png,0.00765338,5,FNS,0.512049,4.76308
74,rgb/1305031935.169281.png,rgb/1305031935.336810.png,0.00561393,5,FNS,1.27697,10.5363
75,rgb/1305031935.336810.png,rgb/1305031935.500863.png,0.00489953,5,FNS,1.31032,11.5259
76,rgb/1305031935.500863.png,rgb/1305031935.669100.png,0.00591569,5,FNS,2.97412,26.9863
77,rgb/1305031935.669100.png,rgb/1305031935.836877.png,0.00526365,5,FNS,0.893624,54.3392
78,rgb/1305031935.836877.png,rgb/1305031936.000820.png,0.00311689,5,FNS,1.88999,127.61
79,rgb/1305031936.000820.png,rgb/1305031936.168897.png,0.0028503,5,FNS,1.09927,111.995
80,rgb/1305031936.168897.png,rgb/1305031936.336863.png,0.00243938,5,FNS,0.860708,76.7068
81,rgb/1305031936.336863.png,rgb/1305031936.500753.png,0.00215829,5,FNS,1.02321,26.7524
82,rgb/1305031936.500753.png,rgb/1305031936.668885.png,0.00297826,5,FNS,0.496353,72.5032
83,rgb/1305031936.668885.png,rgb/1305031936.836845.png,0.00585149,5,FNS,1.73171,66.4904
84,rgb/1305031936.836845.png,rgb/1305031937.001118.png,0.00790406,5,FNS,0.865287,9.40381
85,rgb/1305031937.001118.png,rgb/1305031937.168856.png,0.00712025,5,FNS,1.34607,23.1491
86,rgb/1305031937.168856.png,rgb/1305031937.336862.png,0.00513909,5,FNS,1.10974,113.706
87,rgb/1305031937.336862.png,rgb/1305031937.500797.png,0.00306125,5,FNS,1.22948,34.1955
88,rgb/1305031937.500797.png,rgb/1305031937.668803.png,0.00408204,5,FNS,1.54181,104.67
89,rgb/1305031937.668803.png,rgb/1305031937.836877.png,0.00341006,5,FNS,1.28235,67.2196
90,rgb/1305031937.836877.png,rgb/1305031938.000822.png,0.00321988,5,FNS,1.12604,41.5896
91,rgb/1305031938.000822.png,rgb/1305031938.168914.png,0.00321326,5,FNS,1.25249,68.2312
92,rgb/1305031938.168914.png,rgb/1305031938.336900.png,0.00202678,5,FNS,1.33229,105.371
93,rgb/1305031938.336900.png,rgb/1305031938.501288.png,0.00074129,5,FNS,1.45412,73.6177
94,rgb/1305031938.501288.png,rgb/1305031938.668747.png,0.00095297,5,FNS,1.60991,54.8241
95,rgb/1305031938.668747.png,rgb/1305031938.836754.png,0.0021411,5,FNS,1.28191,28.763
96,rgb/1305031938.836754.png,rgb/1305031939.001030.png,0.00250507,5,FNS,90.122,129.321
97,rgb/1305031939.001030.png,rgb/1305031939.168815.png,0.0025999,5,FNS,2.99491,108.927
98,rgb/1305031939.168815.png,rgb/1305031939.336729.png,0.00235329,5,FNS,1.09892,39.922
99,rgb/1305031939.336729.png,rgb/1305031939.500839.png,0.00204488,5,FNS,3.21716,67.8446
100,rgb/1305031939.500839.png,rgb/1305031939.668867.png,0.00205547,5,FNS,1.47169,63.9046
101,rgb/1305031939.668867.png,rgb/1305031939.837145.png,0.00146776,5,FNS,1.01304,69.3575
102,rgb/1305031939.837145.png,rgb/1305031940.005582.png,0.00111129,5,FNS,1.18978,109.738
103,rgb/1305031940.005582.png,rgb/1305031940.168737.png,0.00120595,5,FNS,0.657057,4.60457
104,rgb/1305031940.168737.png,rgb/1305031940.336732.png,0.0020862,5,FNS,1.41402,21.9901
105,rgb/1305031940.336732.png,rgb/1305031940.503804.png,0.00255358,5,FNS,179.136,152.139
106,rgb/1305031940.503804.png,rgb/1305031940.668762.png,0.00213909,5,FNS,0.504099,18.5869
107,rgb/1305031940.668762.png,rgb/1305031940.836755.png,0.00244917,5,FNS,0.851221,42.0407
108,rgb/1305031940.836755.png,rgb/1305031941.003160.png,0.00453949,5,FNS,1.02563,37.2452
109,rgb/1305031941.003160.png,rgb/1305031941.171144.png,0.00719105,5,FNS,1.74038,42.0125
110,rgb/1305031941.171144.png,rgb/1305031941.336734.png,0.00776814,5,FNS,0.57281,8.87991
111,rgb/1305031941.336734.png,rgb/1305031941.501458.png,0.00574196,5,FNS,1.55993,45.849
112,rgb/1305031941.501458.png,rgb/1305031941.671554.png,0.00493331,5,FNS,0.643953,28.1038
113,rgb/1305031941.671554.png,rgb/1305031941.836848.png,0.0052749,5,FNS,1.20188,29.2469
114,rgb/1305031941.836848.png,rgb/1305031942.003141.png,0.00585549,5,FNS,0.483723,3.00517
115,rgb/1305031942.003141.png,rgb/1305031942.170749.png,0.0070521,5,FNS,0.599226,7.45277
116,rgb/1305031942.170749.png,rgb/1305031942.337047.png,0.00521265,5,FNS,1.87743,71.3068
117,rgb/1305031942.337047.png,rgb/1305031942.503553.png,0.00268466,5,FNS,1.5965,61.2254
