pair_index,image1,image2,t_gt_sq_magnitude,r_gt_magnitude,skipping_frame,inliers,match_coverage,method,rotation_error,translation_error
120,rgb/1305031942.841042.png,rgb/1305031943.171912.png,0.0092011,3.99443,10,358,0.65625,FNS,0.771973,6.26426
121,rgb/1305031943.001103.png,rgb/1305031943.339941.png,0.0160066,3.43997,10,98,0.5625,FNS,0.424492,4.94687
122,rgb/1305031943.171912.png,rgb/1305031943.501108.png,0.0219325,5.056,10,42,0.328125,FNS,0.659876,0.275152
123,rgb/1305031943.339941.png,rgb/1305031943.671504.png,0.0197867,5.18394,10,51,0.34375,FNS,1.10657,6.65913
124,rgb/1305031943.501108.png,rgb/1305031943.837754.png,0.0164997,5.63952,10,47,0.328125,FNS,1.47087,7.97116
125,rgb/1305031943.671504.png,rgb/1305031944.007760.png,0.0131134,9.29672,10,74,0.328125,FNS,1.93288,21.6539
126,rgb/1305031943.837754.png,rgb/1305031944.171370.png,0.00727125,11.5358,10,103,0.328125,FNS,4.32887,106.978
127,rgb/1305031944.007760.png,rgb/1305031944.339308.png,0.00293451,11.1878,10,73,0.390625,FNS,3.8808,88.7408
128,rgb/1305031944.171370.png,rgb/1305031944.506947.png,0.00306581,13.9106,10,48,0.296875,FNS,1.527,36.2608
129,rgb/1305031944.339308.png,rgb/1305031944.671779.png,0.00419134,16.9222,10,34,0.25,FNS,1.64005,31.8041
130,rgb/1305031944.506947.png,rgb/1305031944.839956.png,0.00424309,16.374,10,58,0.28125,FNS,2.78649,5.2916
131,rgb/1305031944.671779.png,rgb/1305031945.007437.png,0.00394476,12.6384,10,39,0.265625,FNS,2.41304,100.303
132,rgb/1305031944.839956.png,rgb/1305031945.168992.png,0.00418395,12.2238,10,46,0.3125,FNS,2.3207,15.293
133,rgb/1305031945.007437.png,rgb/1305031945.338940.png,0.0053117,16.4512,10,49,0.3125,FNS,2.90893,61.4712
134,rgb/1305031945.168992.png,rgb/1305031945.506438.png,0.00709246,11.5672,10,26,0.265625,FNS,3.65739,104.706
135,rgb/1305031945.338940.png,rgb/1305031945.669116.png,0.00938165,6.28912,10,66,0.3125,FNS,3.52242,98.667
136,rgb/1305031945.506438.png,rgb/1305031945.838266.png,0.0115846,6.8039,10,29,0.28125,FNS,3.41183,83.3035
137,rgb/1305031945.669116.png,rgb/1305031946.005983.png,0.0128974,18.7884,10,11,0.125,FNS,11.4171,46.9714
138,rgb/1305031945.838266.png,rgb/1305031946.168867.png,0.0114468,19.7216,10,18,0.15625,FNS,4.13102,78.4977
139,rgb/1305031946.005983.png,rgb/1305031946.337036.png,0.0104441,10.494,10,10,0.140625,FNS,5.71105,58.4039
140,rgb/1305031946.168867.png,rgb/1305031946.506586.png,0.0215748,7.14348,10,97,0.453125,FNS,4.70533,46.0965
141,rgb/1305031946.337036.png,rgb/1305031946.669089.png,0.0328322,2.87681,10,71,0.375,FNS,6.18257,36.7462
