pair_index,image1,image2,t_gt_sq_magnitude,r_gt_magnitude,skipping_frame,inliers,match_coverage,method,rotation_error,translation_error
0,rgb/1305031922.833262.png,rgb/1305031923.233162.png,0.00207797,9.82921,12,137,0.515625,FNS,1.25714,80.4648
1,rgb/1305031923.001054.png,rgb/1305031923.401139.png,0.00365675,10.9132,12,94,0.453125,FNS,1.77406,32.4656
2,rgb/1305031923.165168.png,rgb/1305031923.565198.png,0.00751355,12.2677,12,76,0.34375,FNS,1.04531,9.01924
3,rgb/1305031923.333169.png,rgb/1305031923.733145.png,0.0162233,10.331,12,72,0.421875,FNS,0.497626,7.90713
4,rgb/1305031923.501145.png,rgb/1305031923.901121.png,0.0266909,6.00169,12,30,0.25,FNS,1.26974,18.4245
5,rgb/1305031923.665141.png,rgb/1305031924.065224.png,0.0335495,4.25367,12,41,0.265625,FNS,4.25598,43.1181
6,rgb/1305031923.833045.png,rgb/1305031924.233238.png,0.0343989,3.87315,12,78,0.34375,FNS,0.285588,0.520438
7,rgb/1305031924.001096.png,rgb/1305031924.401095.png,0.0333318,3.31752,12,74,0.375,FNS,0.834114,0.72161
8,rgb/1305031924.165591.png,rgb/1305031924.565264.png,0.0293569,8.64085,12,38,0.28125,FNS,1.85674,13.5358
9,rgb/1305031924.333113.png,rgb/1305031924.733166.png,0.0235148,10.5521,12,101,0.46875,FNS,4.5194,44.9895
10,rgb/1305031924.501116.png,rgb/1305031924.901110.png,0.0181201,7.28612,12,112,0.453125,FNS,1.00641,1.31625
11,rgb/1305031924.665187.png,rgb/1305031925.069090.png,0.0173132,4.33379,12,181,0.59375,FNS,0.646864,4.03755
12,rgb/1305031924.833187.png,rgb/1305031925.233193.png,0.0171424,3.69069,12,138,0.5625,FNS,0.634321,3.9955
13,rgb/1305031925.001103.png,rgb/1305031925.401456.png,0.0184572,4.39994,12,191,0.5625,FNS,0.377679,1.62773
14,rgb/1305031925.169080.png,rgb/1305031925.569132.png,0.0220351,1.86209,12,127,0.515625,FNS,1.45588,5.33585
15,rgb/1305031925.333142.png,rgb/1305031925.733167.png,0.0249973,3.56051,12,103,0.515625,FNS,0.512551,4.6586
16,rgb/1305031925.501267.png,rgb/1305031925.901176.png,0.0254963,7.84246,12,44,0.390625,FNS,4.6037,50.6647
17,rgb/1305031925.669137.png,rgb/1305031926.069077.png,0.025299,10.2894,12,64,0.28125,FNS,0.499013,3.37391
18,rgb/1305031925.833148.png,rgb/1305031926.233134.png,0.0278197,9.89475,12,27,0.203125,FNS,2.14852,6.1928
19,rgb/1305031926.001186.png,rgb/1305031926.401166.png,0.0319497,9.70651,12,57,0.359375,FNS,0.938945,9.93921
20,rgb/1305031926.169101.png,rgb/1305031926.569122.png,0.0303781,13.0344,12,82,0.359375,FNS,1.29093,12.1208
21,rgb/1305031926.333164.png,rgb/1305031926.733207.png,0.0214039,16.1549,12,100,0.359375,FNS,1.18435,3.86786
22,rgb/1305031926.501075.png,rgb/1305031926.901097.png,0.011855,22.5548,12,47,0.328125,FNS,1.81512,30.6727
23,rgb/1305031926.669140.png,rgb/1305031927.070528.png,0.00879048,29.1364,12,32,0.21875,FNS,1.72211,27.4827
24,rgb/1305031926.833209.png,rgb/1305031927.233491.png,0.0110833,29.5627,12,15,0.1875,FNS,1.14449,58.0677
25,rgb/1305031927.001575.png,rgb/1305031927.401161.png,0.0154483,23.1923,12,20,0.140625,FNS,35.5473,65.9611
26,rgb/1305031927.169161.png,rgb/1305031927.569225.png,0.0177163,16.0208,12,26,0.1875,FNS,176.096,89.4622
27,rgb/1305031927.333139.png,rgb/1305031927.733219.png,0.0166681,9.4012,12,45,0.265625,FNS,1.83179,11.2478
28,rgb/1305031927.501136.png,rgb/1305031927.901130.png,0.0175893,8.96443,12,59,0.390625,FNS,2.23123,8.43451
29,rgb/1305031927.669158.png,rgb/1305031928.069125.png,0.0259696,5.71521,12,128,0.453125,FNS,0.70025,8.0388
30,rgb/1305031927.833282.png,rgb/1305031928.233133.png,0.0319969,2.75378,12,59,0.390625,FNS,0.379324,4.74248
31,rgb/1305031928.001134.png,rgb/1305031928.401116.png,0.0281054,8.03721,12,60,0.28125,FNS,5.92529,84.2368
32,rgb/1305031928.169018.png,rgb/1305031928.569299.png,0.0203348,17.8235,12,46,0.25,FNS,5.61017,41.8767
33,rgb/1305031928.333609.png,rgb/1305031928.733185.png,0.0137574,22.8452,12,16,0.1875,FNS,4.55324,49.1158
34,rgb/1305031928.501428.png,rgb/1305031928.901197.png,0.0104163,23.1837,12,21,0.203125,FNS,178.265,75.2764
35,rgb/1305031928.669146.png,rgb/1305031929.069089.png,0.0121065,24.0403,12,17,0.140625,FNS,164.397,49.9217
36,rgb/1305031928.833193.png,rgb/1305031929.233293.png,0.0158938,25.6836,12,12,0.109375,FNS,8.97371,74.945
37,rgb/1305031929.001155.png,rgb/1305031929.401369.png,0.0191993,25.38,12,0,0,FNS,77.4665,18.0129
38,rgb/1305031929.169204.png,rgb/1305031929.569172.png,0.0199462,20.8565,12,0,0,FNS,80.896,26.6931
39,rgb/1305031929.333529.png,rgb/1305031929.733617.png,0.0193975,16.5232,12,0,0,FNS,84.7488,36.8962
40,rgb/1305031929.501198.png,rgb/1305031929.901292.png,0.0159915,13.2225,12,51,0.375,FNS,2.65269,4.24148
41,rgb/1305031929.669287.png,rgb/1305031930.069293.png,0.00825725,8.25544,12,55,0.421875,FNS,2.75901,17.1923
42,rgb/1305031929.833358.png,rgb/1305031930.233355.png,0.0044843,3.86898,12,84,0.53125,FNS,2.51938,44.0684
43,rgb/1305031930.001350.png,rgb/1305031930.401077.png,0.00942449,12.6325,12,44,0.359375,FNS,2.21959,83.9541
44,rgb/1305031930.169117.png,rgb/1305031930.569007.png,0.0137048,17.5296,12,29,0.25,FNS,2.64765,100.006
45,rgb/1305031930.333138.png,rgb/1305031930.733195.png,0.0128428,18.4977,12,14,0.15625,FNS,3.61163,96.6664
46,rgb/1305031930.501044.png,rgb/1305031930.900829.png,0.0124984,17.8359,12,35,0.265625,FNS,2.42129,89.9476
47,rgb/1305031930.668925.png,rgb/1305031931.068905.png,0.0125039,16.9989,12,77,0.328125,FNS,2.88165,104.426
48,rgb/1305031930.833091.png,rgb/1305031931.233053.png,0.0105353,18.6257,12,39,0.296875,FNS,2.57493,63.3405
49,rgb/1305031931.000795.png,rgb/1305031931.401337.png,0.00809657,21.883,12,43,0.28125,FNS,1.80725,111.448
50,rgb/1305031931.168900.png,rgb/1305031931.569726.png,0.0063221,21.8305,12,38,0.265625,FNS,2.07792,20.7414
51,rgb/1305031931.332991.png,rgb/1305031931.732985.png,0.0078926,16.1434,12,31,0.265625,FNS,1.36148,36.0703
52,rgb/1305031931.500852.png,rgb/1305031931.900957.png,0.0129675,11.2555,12,68,0.421875,FNS,3.30046,32.6108
53,rgb/1305031931.669064.png,rgb/1305031932.068920.png,0.014393,8.96566,12,163,0.5625,FNS,7.58882,63.1183
54,rgb/1305031931.832926.png,rgb/1305031932.232821.png,0.0125459,6.86278,12,59,0.34375,FNS,0.971629,8.19263
55,rgb/1305031932.000829.png,rgb/1305031932.401680.png,0.0126751,7.35174,12,82,0.328125,FNS,2.82857,44.5706
56,rgb/1305031932.169077.png,rgb/1305031932.568972.png,0.0154965,13.27,12,51,0.296875,FNS,88.0831,33.7919
57,rgb/1305031932.333175.png,rgb/1305031932.732848.png,0.0155583,16.8022,12,58,0.34375,FNS,0.775149,22.0569
58,rgb/1305031932.500893.png,rgb/1305031932.901214.png,0.0147198,18.8354,12,35,0.296875,FNS,2.52319,38.6078
59,rgb/1305031932.669236.png,rgb/1305031933.068879.png,0.0133396,14.3182,12,31,0.265625,FNS,179.479,126.464
60,rgb/1305031932.832891.png,rgb/1305031933.233374.png,0.00920534,8.11392,12,86,0.4375,FNS,2.53422,38.8448
61,rgb/1305031933.001958.png,rgb/1305031933.400926.png,0.00347926,11.7327,12,109,0.515625,FNS,0.7673,12.8656
62,rgb/1305031933.169450.png,rgb/1305031933.568861.png,0.00089614,12.5672,12,172,0.546875,FNS,0.976031,55.5949
63,rgb/1305031933.332881.png,rgb/1305031933.732901.png,0.00199926,16.8521,12,65,0.390625,FNS,1.51806,31.2638
